,index,AGGT,DIV,CIV,HIST,GEO,KISW,ENGL,PHY,CHEM,BIO,B/MATH,Course
0,10,19,II,C,B,C,B,C,F,C,C,C,CBG
1,23,20,II,C,C,C,B,C,F,C,C,C,CBG
2,29,17,I,C,B,C,B,C,C,C,C,A,HGL
3,32,25,III,D,D,D,C,D,F,D,C,C,COMMUNITY DEVELOPMENT
4,35,19,II,C,C,D,C,C,D,B,B,C,PCB
5,37,21,II,C,C,C,C,C,F,D,C,C,HGL
6,70,22,III,C,C,C,C,C,F,D,C,F,CERTIFICATE IN MICROFINANCE MANAGEMENT
7,81,20,II,C,C,C,B,C,D,C,C,D,HGK
8,105,24,III,C,D,C,C,D,F,D,C,F,HUMAN RESOURCE MANAGEMENT
9,992,20,II,C,C,C,B,C,D,C,C,D,CBG
10,995,24,III,C,D,D,C,C,F,D,C,F,AQUACULTURE TECHNOLOGY
11,999,14,I,B,B,C,A,B,D,C,A,D,PCB
12,1001,19,II,B,C,C,B,B,D,D,C,F,HGK
13,1011,19,II,C,C,C,B,C,D,C,B,D,CBG
14,1015,20,II,C,C,C,B,B,F,D,C,D,HGL
15,1041,22,III,C,D,C,C,C,F,C,C,D,HGL
16,1050,16,I,B,B,C,B,B,D,C,B,D,PCB
17,1051,20,II,C,C,C,B,C,D,C,C,F,CBG
18,1060,19,II,B,C,C,B,C,D,C,C,D,CBG
19,1064,18,II,C,C,C,A,B,F,C,C,F,CBG
20,1066,12,I,A,B,B,A,B,C,B,B,B,PCB
21,1073,15,I,B,C,C,A,B,D,B,B,C,PCM
22,1083,19,II,B,C,C,B,C,D,C,C,C,HGE
23,1093,20,II,C,C,C,B,C,F,C,C,D,CBG
24,1100,22,III,C,C,D,B,C,F,D,C,F,HKL
25,1116,21,II,C,C,C,C,C,D,C,C,C,EGM
26,1118,18,II,B,C,C,B,C,C,C,C,B,PCM
27,1132,22,III,C,C,D,C,C,F,C,C,D,ECONOMICS DEVELOPMENT
28,1133,21,II,C,C,C,B,C,D,D,C,D,HKL
29,1153,19,II,C,C,C,B,C,C,C,C,B,PCM
30,1175,19,II,B,C,C,B,C,D,C,C,D,CBG
31,1178,20,II,C,C,C,B,C,D,C,C,D,HGE
32,1179,10,I,B,A,B,A,A,C,B,A,B,PCM
33,1180,10,I,B,C,B,A,A,C,B,A,B,PCM
34,1557,12,I,B,B,B,A,A,C,B,B,B,EGM
35,1558,20,II,C,C,C,C,B,D,C,C,C,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA HISABATI)
36,1560,14,I,C,B,B,B,B,C,B,B,C,PCB
37,1563,7,I,B,A,B,A,A,C,A,A,A,PGM
38,1564,17,I,C,C,D,B,A,D,C,C,D,HKL
39,1565,16,I,B,C,C,C,B,C,C,C,B,PCB
40,1566,9,I,B,A,B,A,A,C,B,A,C,PCM
41,1568,13,I,B,C,B,B,B,C,B,B,A,CLINICAL MEDICINE
42,1569,12,I,B,B,B,B,A,C,B,B,C,PCB
43,1571,10,I,B,C,A,B,A,C,B,A,B,PGM
44,1572,18,II,C,C,C,C,A,C,B,C,C,PCB
45,1573,19,II,C,C,C,B,B,D,C,C,D,CBG
46,1575,18,II,C,C,C,B,B,D,C,B,C,NURSING AND MIDWIFERY
47,1578,10,I,C,B,A,B,B,C,A,A,A,PCB
48,1579,19,II,C,C,C,C,B,D,C,C,C,PCM
49,1581,14,I,C,B,C,B,A,D,C,B,B,PCM
50,1582,12,I,B,B,C,B,A,D,C,B,B,EGM
51,1583,16,I,C,C,C,B,A,C,C,B,B,EGM
52,1584,17,I,C,C,C,B,A,D,C,C,C,PGM
53,1586,16,I,C,D,C,B,B,D,C,B,C,PCB
54,1588,17,I,C,C,C,B,A,D,C,B,C,PCB
55,1589,10,I,B,C,B,A,A,C,A,B,A,PCB
56,1590,21,II,C,C,C,C,C,D,C,C,C,EGM
57,1591,16,I,C,C,C,B,B,D,B,B,B,PCB
58,1593,17,I,C,C,C,B,A,C,C,B,C,CBG
59,1594,16,I,B,B,C,C,B,D,C,B,D,PCB
60,1595,17,I,B,C,C,B,B,D,C,C,C,HKL
61,1596,12,I,C,C,C,B,A,C,A,B,A,PCM
62,1597,12,I,B,C,B,A,B,D,C,A,D,HGL
63,1598,17,I,C,C,C,B,B,D,C,C,D,HGE
64,1599,10,I,A,B,B,A,A,C,A,B,B,PCB
65,1600,16,I,C,C,C,C,B,C,C,A,C,CLINICAL MEDICINE
66,1601,13,I,C,B,C,B,A,D,B,B,C,PCB
67,1603,12,I,B,B,A,B,A,C,C,C,C,CBG
68,1604,15,I,B,C,C,B,A,D,C,C,C,PCB
69,1606,14,I,B,B,C,B,B,C,B,C,C,PCB
70,1607,18,II,B,C,C,C,B,D,C,C,C,EGM
71,1608,13,I,B,B,B,B,A,D,B,B,C,PCB
72,1609,14,I,B,B,C,C,A,C,B,B,C,PCB
73,1611,19,II,C,C,C,B,B,C,C,C,C,PGM
74,1612,14,I,B,B,C,B,A,D,C,B,D,HGL
75,1616,13,I,B,C,B,A,A,D,C,B,D,PCB
76,1618,14,I,B,C,C,B,A,C,C,B,C,PCB
77,1619,13,I,B,C,B,B,A,C,B,B,C,PCB
78,1621,16,I,C,D,C,B,B,D,B,B,C,PCB
79,1622,20,II,C,C,C,C,B,D,D,C,D,HGK
80,1624,18,II,C,C,C,B,A,D,C,C,C,EGM
81,1625,18,II,C,C,C,C,B,D,C,C,D,CBG
82,1626,20,II,C,C,C,C,B,D,C,C,C,PCM
83,1628,17,I,C,C,C,B,A,D,C,C,C,CBG
84,1629,13,I,B,B,C,B,A,D,C,B,C,PCB
85,1633,19,II,C,C,C,B,B,D,C,C,D,CBG
86,1635,15,I,B,B,B,B,B,C,C,C,C,PCB
87,1638,14,I,A,B,C,B,B,C,C,C,B,PCM
88,1639,15,I,B,C,B,B,A,D,C,C,C,HGE
89,1640,14,I,B,B,C,B,B,C,B,B,B,PCM
90,1641,18,II,C,C,C,C,A,D,C,C,C,CBG
91,1642,14,I,C,B,C,B,A,C,C,B,B,PCB
92,1643,11,I,C,A,B,B,A,C,A,B,C,PGM
93,1646,16,I,C,C,C,B,A,D,B,B,C,PCB
94,1647,16,I,B,B,C,B,B,D,C,B,C,CLINICAL MEDICINE
95,1650,15,I,B,C,C,B,B,D,C,B,B,PCM
96,1654,16,I,C,A,C,C,A,D,C,C,C,EGM
97,1655,19,II,C,C,C,C,B,D,C,C,D,HGL
98,1657,15,I,C,B,C,B,A,D,C,B,D,PCB
99,1658,18,II,B,C,C,B,B,D,C,C,D,CBG
100,1660,12,I,B,B,B,B,A,D,B,A,C,PCB
101,1889,22,III,C,C,C,B,D,F,D,C,F,HGK
102,1890,19,II,C,C,C,A,C,F,D,C,F,HGK
103,1893,24,III,C,D,D,B,C,F,F,D,F,STASHAHADA YA UALIMU ELIMU YA MSINGI
104,1903,24,III,D,C,D,B,C,F,D,D,F,HKL
105,1905,24,III,C,D,D,B,C,F,D,D,F,COMMUNITY DEVELOPMENT
106,2284,20,II,C,C,C,B,C,F,C,C,D,CBG
107,2285,25,III,C,D,D,C,D,F,D,C,F,COMMUNITY DEVELOPMENT
108,2286,25,III,C,D,D,C,C,F,F,C,F,HUMAN RESOURCE MANAGEMENT
109,2287,23,III,C,D,D,B,D,F,C,C,F,ACCOUNTANCY
110,2288,25,III,D,D,D,C,C,F,D,C,F,COMMUNITY DEVELOPMENT
111,2290,25,III,C,D,D,C,D,F,D,C,D,ACCOUNTANCY
112,2291,23,III,C,D,D,B,C,F,D,C,F,BUSINESS ADMINISTRATION
113,2295,21,II,C,D,C,B,C,F,C,C,D,STASHAHADA MAALUMU YA UALIMU WA MASOMO YA SAYANSI (KEMIA NA BAIOLOJIA )
114,2297,25,III,D,D,C,C,C,F,D,D,F,FORESTRY
115,2298,22,III,C,D,C,C,B,F,D,C,F,HGL
116,2301,20,II,C,C,C,B,C,F,C,C,D,HGE
117,2302,22,III,C,C,C,C,C,F,D,C,F,BUSINESS ADMINISTRATION
118,2303,23,III,C,D,C,C,C,F,D,C,F,BUSINESS ADMINISTRATION
119,2307,21,II,C,C,C,C,C,F,C,C,F,RURAL DEVELOPMENT PLANNING
120,2310,23,III,C,D,C,C,C,F,D,C,F,MARKETING
121,2312,21,II,C,C,C,C,C,D,D,B,D,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
122,2322,17,I,C,C,C,B,A,D,C,B,D,CBG
123,2337,25,III,C,D,D,C,D,F,D,C,F,FORESTRY
124,2345,23,III,C,D,C,C,C,F,D,C,D,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
125,2346,20,II,C,C,C,B,C,D,C,C,D,CBG
126,2353,17,I,B,C,C,B,B,D,C,B,D,CBG
127,2358,24,III,C,D,D,C,C,F,D,C,F,"LIBRARY, RECORDS AND INFORMATION STUDIES"
128,2364,20,II,C,C,C,B,C,D,C,C,D,HGE
129,2369,23,III,C,D,D,C,C,D,C,C,D,CIVIL ENGINEERING WITH COMMUNITY DEVELOPMENT
130,2371,21,II,C,C,C,C,C,D,C,C,C,HKL
131,2372,23,III,C,D,D,C,C,F,C,C,D,ACCOUNTANCY
132,2374,21,II,C,D,D,C,C,D,B,C,C,PCM
133,2375,21,II,C,D,C,C,C,D,C,C,C,IRRIGATION ENGINEERING
134,2377,21,II,C,C,C,C,C,D,C,C,D,HGK
135,2378,23,III,C,D,D,C,C,D,C,C,D,COMPUTING AND INFORMATION COMMUNICATION TECHNOLOGY
136,2382,22,III,C,D,D,C,C,D,C,C,C,LOCAL GOVERNMENT ADMINISTRATION
137,2384,21,II,C,C,D,C,C,D,C,C,C,PHYSIOTHERAPY
138,2386,23,III,C,D,C,C,C,D,D,C,F,BUSINESS ADMINISTRATION
139,2388,21,II,C,C,C,C,C,F,C,C,C,HGL
140,2460,19,II,C,C,C,B,C,D,C,C,D,HGE
141,2463,18,II,C,C,C,B,A,D,C,C,C,PCM
142,2466,19,II,C,C,C,B,B,F,D,C,D,HGK
143,2468,19,II,C,C,C,B,B,D,C,C,C,PCM
144,2471,23,III,D,D,D,C,B,F,D,C,D,"LIBRARY, RECORDS AND INFORMATION STUDIES"
145,2473,16,I,C,B,C,B,A,D,C,B,C,PGM
146,2474,20,II,C,C,C,B,C,F,C,C,C,EGM
147,2476,19,II,C,C,C,B,B,F,D,C,D,HGE
148,2477,11,I,B,A,B,B,B,C,C,A,A,PCM
149,2479,19,II,C,C,C,B,B,C,C,C,C,PGM
150,2480,22,III,C,D,C,C,C,D,D,C,D,DEVELOPMENT ADMINISTRATION AND MANAGEMENT
151,2481,20,II,C,C,C,C,B,D,C,C,C,CBG
152,2483,19,II,C,B,C,C,B,D,C,C,C,CBG
153,2485,13,I,C,B,B,B,A,C,B,B,B,PCM
154,2487,14,I,C,B,C,C,A,C,C,B,A,PCB
155,2488,23,III,D,D,C,D,C,F,C,C,D,HUMAN RESOURCE MANAGEMENT
156,2489,23,III,C,D,C,C,C,D,D,C,D,BUSINESS MANAGEMENT
157,2491,21,II,C,C,C,C,C,D,C,C,D,HGL
158,2493,21,II,C,C,C,C,C,D,C,C,C,HGL
159,2496,19,II,C,C,C,B,B,D,C,C,D,CBG
160,2498,19,II,C,B,C,B,C,D,C,C,C,EGM
161,2499,12,I,B,A,B,B,A,C,B,B,B,PGM
162,2503,15,I,C,B,C,C,A,C,C,C,A,PCM
